,event_date,landslide_trigger,landslide_size,fatality_count,injury_count,latitude,longitude
4628,2007-07-30 00:00:00.000000,downpour,medium,,,30.4,79.349
5090,2007-07-30 00:00:00.000000,downpour,medium,2.0,,30.733,78.439
22517,2007-07-30 00:00:00.000000,downpour,medium,,,30.557,79.56
4645,2007-08-11 00:00:00.000000,rain,medium,,,30.0702,78.3027
4400,2007-08-12 00:00:00.000000,rain,medium,,,29.57990613,80.50476155
55,2007-09-06 00:00:00.000000,rain,large,,,29.5833,80.2167
23466,2007-09-11 00:00:00.000000,rain,medium,,,29.8496,80.5544
23338,2007-09-15 00:00:00.000000,rain,medium,,,29.5333,80.4333
3464,2008-07-18 00:00:00.000000,rain,medium,14.0,,29.33,80.1
5325,2008-07-18 00:00:00.000000,monsoon,medium,8.0,,28.9,80.87
21714,2008-09-20 00:00:00.000000,downpour,medium,5.0,,29.11803174,80.67774011
24104,2008-09-21 00:00:00.000000,downpour,medium,26.0,,28.833,80.9
2466,2009-08-08 02:00:00.000000,downpour,large,15.0,,29.5885,80.2098
846,2009-08-17 18:00:00.000000,continuous_rain,medium,0.0,,29.4085,80.1327
21685,2009-08-17 23:00:00.000000,downpour,medium,1.0,,29.3083,80.5792
4451,2009-08-18 00:00:00.000000,downpour,medium,1.0,,29.1917,80.8708
23641,2009-08-20 00:00:00.000000,downpour,medium,0.0,,29.0958,80.3125
24764,2009-09-01 15:00:00.000000,downpour,medium,3.0,,29.7036,78.5658
22127,2009-10-06 00:00:00.000000,downpour,large,12.0,,29.2833,80.675
25352,2009-12-23 00:00:00.000000,rain,medium,1.0,,29.48,80.94
24591,2010-02-23 00:00:00.000000,downpour,medium,2.0,1.0,30.38069426,78.47049965
5624,2010-07-06 00:00:00.000000,downpour,medium,0.0,,30.638,78.3297
4609,2010-07-06 00:00:00.000000,downpour,medium,0.0,,30.2485,78.8847
22817,2010-07-17 00:00:00.000000,downpour,medium,0.0,,29.2675,80.9499
2207,2010-07-20 00:00:00.000000,downpour,medium,0.0,,29.36,80.126
25378,2010-07-20 00:00:00.000000,downpour,medium,0.0,,29.9862,78.6115
24249,2010-07-20 18:00:00.000000,downpour,medium,1.0,,29.3576,79.5519
1306,2010-07-22 00:00:00.000000,downpour,medium,1.0,,29.6095,79.6628
24617,2010-07-29 00:00:00.000000,downpour,medium,0.0,,30.4054,79.3426
20473,2010-07-29 00:00:00.000000,downpour,medium,0.0,,30.7467,78.4517
22429,2010-08-05 08:00:00.000000,downpour,medium,5.0,,30.4068,79.3351
2205,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.6785,78.3475
1548,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.6463,79.5306
22515,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.5151,78.3684
984,2010-08-13 00:00:00.000000,downpour,medium,,,30.80200029,78.61786282
6477,2010-08-16 00:00:00.000000,downpour,medium,0.0,,30.7284,79.4971
25436,2010-08-18 08:30:00.000000,downpour,large,18.0,,30.0134,79.9261
21055,2010-08-20 00:00:00.000000,downpour,medium,0.0,,30.7221,78.6437
6243,2010-08-20 00:00:00.000000,downpour,medium,0.0,,30.3846,78.8371
23059,2010-08-20 00:00:00.000000,downpour,medium,0.0,,30.8183,78.6186
2390,2010-08-20 00:00:00.000000,downpour,medium,0.0,,30.966,78.4151
5313,2010-08-20 00:00:00.000000,downpour,medium,0.0,,30.6509,79.0264
25267,2010-08-22 00:00:00.000000,downpour,medium,0.0,,30.4238,79.6724
3247,2010-08-26 08:00:00.000000,downpour,medium,0.0,,30.365,78.0641
3621,2010-09-03 00:00:00.000000,downpour,medium,0.0,,30.4008,79.0278
25292,2010-09-03 00:00:00.000000,downpour,medium,0.0,,30.135,78.3896
1122,2010-09-03 00:00:00.000000,downpour,medium,0.0,,30.2851,78.9829
22313,2010-09-04 00:00:00.000000,downpour,medium,0.0,,30.796,78.623
5404,2010-09-04 00:00:00.000000,downpour,medium,0.0,,30.5004,79.3888
20423,2010-09-04 00:00:00.000000,downpour,medium,0.0,,30.8987,78.3399
20465,2010-09-12 00:00:00.000000,downpour,medium,0.0,,30.7333,78.4403
20436,2010-09-14 00:00:00.000000,downpour,medium,0.0,,29.477,80.3491
22597,2010-09-15 00:00:00.000000,downpour,medium,0.0,,31.4135,77.895
25301,2010-09-17 00:00:00.000000,downpour,very_large,,,30.75402442,79.49970189
3125,2010-09-18 00:00:00.000000,downpour,medium,4.0,,29.29558605,79.54043078000001
25184,2010-09-18 00:00:00.000000,downpour,large,24.0,,29.6042,79.5343
3648,2010-09-18 00:00:00.000000,downpour,medium,0.0,,30.1454,78.6007
7011,2010-09-19 00:00:00.000000,downpour,medium,0.0,,30.7991,79.4356
4649,2010-09-19 00:00:00.000000,downpour,medium,0.0,,29.7911,80.058
21666,2010-09-19 00:00:00.000000,downpour,medium,0.0,,30.9015,78.7756
2639,2010-09-19 00:00:00.000000,downpour,medium,0.0,,30.4326,78.0767
22547,2010-09-19 00:00:00.000000,downpour,medium,0.0,,30.1035,78.4265
4157,2010-09-19 00:00:00.000000,downpour,medium,0.0,,29.5477,79.3211
24625,2010-09-19 09:00:00.000000,downpour,medium,0.0,,30.1977,77.9137
4702,2010-09-19 18:00:00.000000,downpour,medium,0.0,,29.6131,79.494
0,2010-09-19 18:00:00.000000,downpour,medium,2.0,,30.9013,79.5322
6351,2010-09-20 00:00:00.000000,downpour,medium,0.0,,29.3376357,79.48354487
7162,2010-09-20 00:00:00.000000,downpour,medium,0.0,,31.1581,77.7155
2403,2010-09-20 00:00:00.000000,downpour,medium,0.0,,30.7332,78.4401
5223,2010-10-14 19:30:00.000000,rain,medium,,,31.43714183,78.23568806
22224,2011-02-23 00:00:00.000000,downpour,medium,0.0,,30.4749,79.2293
3042,2011-05-31 00:00:00.000000,rain,medium,0.0,,30.9206,78.3276
1542,2011-05-31 18:00:00.000000,rain,medium,1.0,,30.4783,78.2741
26024,2011-06-07 00:00:00.000000,downpour,medium,0.0,,30.5319,79.3541
25540,2011-06-07 09:00:00.000000,downpour,medium,0.0,,30.2414,78.908
5401,2011-06-29 00:00:00.000000,downpour,medium,0.0,,30.2416,78.8996
2519,2011-06-29 00:00:00.000000,downpour,medium,0.0,,29.607,79.9298
533,2011-06-29 00:00:00.000000,downpour,medium,0.0,,30.7666,78.7963
25480,2011-06-29 00:00:00.000000,downpour,medium,,,30.676294820000003,79.04191791
3473,2011-06-29 00:00:00.000000,downpour,medium,,,30.81507336,78.2242533
2561,2011-06-29 00:00:00.000000,downpour,large,10.0,,30.0667,79.0193
22309,2011-06-30 00:00:00.000000,downpour,medium,0.0,,30.15,78.7753
25146,2011-07-06 00:00:00.000000,downpour,medium,0.0,,30.3214,78.0319
2342,2011-07-08 00:00:00.000000,downpour,medium,0.0,,30.6509,79.5192
20068,2011-07-09 00:00:00.000000,downpour,medium,0.0,,30.7331,79.0685
621,2011-07-09 00:00:00.000000,downpour,medium,0.0,,30.7652,78.5925
622,2011-07-09 00:00:00.000000,downpour,medium,0.0,,31.0188,78.4129
1070,2011-07-09 00:00:00.000000,downpour,medium,0.0,,30.7412,79.4929
2650,2011-07-10 00:00:00.000000,downpour,medium,0.0,,30.7333,78.4399
45,2011-07-11 00:00:00.000000,downpour,medium,0.0,,30.506,79.1127
20086,2011-07-21 00:00:00.000000,rain,medium,1.0,,29.7334,79.6367
20087,2011-07-21 00:00:00.000000,rain,medium,1.0,,30.4043,79.3318
21128,2011-07-21 00:00:00.000000,rain,medium,1.0,,30.1665,78.1123
24715,2011-07-21 00:00:00.000000,rain,medium,0.0,,29.5194,80.469
7006,2011-07-29 00:00:00.000000,downpour,medium,0.0,,30.012,78.197
2340,2011-08-07 01:00:00.000000,downpour,medium,0.0,,31.2403,77.9258
22170,2011-08-08 00:00:00.000000,downpour,medium,0.0,,30.6521,79.5566
1305,2011-08-08 00:00:00.000000,downpour,medium,0.0,,30.2258,78.3755
20375,2011-08-10 00:00:00.000000,rain,medium,0.0,,30.2828,78.3041
2761,2011-08-12 00:00:00.000000,rain,medium,0.0,,29.9121,78.1723
23296,2011-08-12 00:00:00.000000,rain,large,11.0,,28.8665,79.5682
6165,2011-08-16 00:00:00.000000,downpour,medium,2.0,,29.2027,80.5307
4107,2011-12-10 00:00:00.000000,downpour,medium,0.0,,29.913,79.3532
25326,2012-03-04 08:00:00.000000,unknown,medium,2.0,,29.5798,80.2123
862,2012-07-05 00:00:00.000000,downpour,large,1.0,,30.1281,78.3221
25188,2012-08-05 23:30:00.000000,unknown,medium,0.0,0.0,30.4876,78.0366
7185,2012-08-14 00:00:00.000000,downpour,medium,,,30.7362,78.44
21396,2012-08-17 00:00:00.000000,downpour,medium,4.0,,30.6594,79.5605
23454,2012-08-17 00:00:00.000000,downpour,medium,,,30.6179,78.3233
2352,2012-09-14 00:00:00.000000,downpour,large,9.0,,29.841,79.7758
4489,2012-09-14 08:00:00.000000,downpour,very_large,19.0,,30.2853,78.9829
21700,2013-06-12 22:00:00.000000,downpour,medium,0.0,,30.7394,78.5306
634,2013-06-16 00:00:00.000000,rain,medium,0.0,,29.7986,80.417
19914,2013-06-16 00:00:00.000000,rain,medium,0.0,,30.4954,78.3881
19915,2013-06-16 00:00:00.000000,rain,medium,0.0,,30.885,78.6695
20201,2013-06-16 00:00:00.000000,rain,medium,0.0,,30.4619,79.0765
3463,2013-06-16 00:00:00.000000,rain,medium,0.0,,30.5728,77.6521
23497,2013-06-16 19:30:00.000000,downpour,very_large,5000.0,,30.7351,79.0666
5588,2013-06-17 00:00:00.000000,rain,medium,3.0,,30.3069,78.0169
23768,2013-06-17 00:00:00.000000,rain,medium,5.0,,29.5193,80.4687
4125,2013-06-17 00:00:00.000000,downpour,medium,,,29.722,80.5118
2008,2013-06-17 00:00:00.000000,downpour,large,13.0,,30.6945,79.0544
25173,2013-06-17 00:00:00.000000,downpour,medium,4.0,,29.5987,79.6592
23460,2013-06-18 00:00:00.000000,monsoon,medium,0.0,,29.5388,80.9963
21222,2013-06-18 15:00:00.000000,rain,medium,0.0,,30.3797,78.5017
2252,2013-06-19 00:00:00.000000,rain,medium,0.0,,29.5935,79.6805
20655,2013-06-24 00:00:00.000000,downpour,medium,0.0,,30.4542,78.3911
25414,2013-06-24 15:00:00.000000,rain,medium,0.0,,30.4091,79.0579
22292,2013-06-24 22:00:00.000000,downpour,medium,0.0,,30.2524,78.9228
21073,2013-07-04 00:00:00.000000,continuous_rain,medium,,,30.0712,80.2386
21467,2013-07-04 00:00:00.000000,downpour,medium,,,29.58,80.2214
23660,2013-07-04 00:00:00.000000,continuous_rain,medium,,,30.1719,80.8576
1363,2013-07-06 00:00:00.000000,downpour,medium,,,31.1628,77.7241
23484,2013-07-10 04:30:00.000000,rain,medium,7.0,,30.3629,79.2143
3334,2013-07-12 00:00:00.000000,downpour,medium,6.0,,29.3802,79.4633
22685,2013-07-12 00:00:00.000000,rain,medium,6.0,,29.3802,79.4633
22212,2013-07-18 00:00:00.000000,downpour,small,0.0,,30.7314,78.4347
23160,2013-07-18 00:00:00.000000,downpour,medium,0.0,,30.4043,79.3308
5073,2013-07-19 00:00:00.000000,downpour,medium,0.0,,30.0718,80.2369
22787,2013-07-23 00:00:00.000000,downpour,medium,0.0,,30.2902,79.151
25151,2013-07-23 00:00:00.000000,downpour,medium,0.0,,30.1944,79.1939
1266,2013-07-24 00:00:00.000000,downpour,medium,0.0,,30.262,79.2191
21356,2013-07-24 00:00:00.000000,downpour,medium,0.0,,30.301,79.3628
22797,2013-07-24 00:00:00.000000,downpour,medium,,,30.2733,79.233
23138,2013-07-24 00:00:00.000000,downpour,medium,0.0,,30.9058,78.0906
5684,2013-07-24 00:00:00.000000,continuous_rain,medium,2.0,,30.4605,79.4774
3109,2013-07-24 00:00:00.000000,downpour,medium,0.0,,30.3056,79.3286
25085,2013-07-25 00:00:00.000000,continuous_rain,medium,0.0,,30.8928,78.48
23105,2013-07-25 00:00:00.000000,continuous_rain,medium,0.0,,30.7866,78.6171
5129,2013-07-25 00:00:00.000000,continuous_rain,medium,,,30.4041,79.3276
21074,2013-07-25 00:00:00.000000,continuous_rain,medium,,,30.8203,78.6185
22646,2013-07-25 00:00:00.000000,continuous_rain,medium,,,30.8928,78.48
20322,2013-07-26 00:00:00.000000,rain,medium,,,30.2835,79.2498
5669,2013-07-26 00:00:00.000000,rain,medium,,,30.6539,78.3366
3396,2013-07-27 00:00:00.000000,rain,medium,,,30.4521,78.754
881,2013-07-28 00:00:00.000000,downpour,small,1.0,,30.819,78.6149
3168,2013-07-28 00:00:00.000000,downpour,small,1.0,,29.9964,80.201
7173,2013-07-31 08:00:00.000000,downpour,medium,,,29.5952,79.6625
4534,2013-07-31 08:00:00.000000,downpour,medium,4.0,,30.3822,78.0949
1219,2013-08-05 00:00:00.000000,monsoon,medium,1.0,1.0,29.5659,80.3657
2742,2013-08-13 08:00:00.000000,downpour,medium,2.0,,30.6014,78.3449
25090,2013-08-17 00:00:00.000000,rain,medium,,,30.7292,78.4396
5350,2013-08-17 00:00:00.000000,rain,medium,,,31.0343,78.7248
2460,2013-08-18 00:00:00.000000,rain,medium,,,30.3642,79.3158
22812,2013-08-18 00:00:00.000000,unknown,medium,,,31.0826,78.066
3419,2013-08-18 00:00:00.000000,rain,medium,,,30.742,78.4543
24661,2013-08-18 00:00:00.000000,rain,medium,,,30.6639,78.0574
25223,2013-08-19 23:00:00.000000,downpour,medium,,,30.6293,78.3303
20646,2013-08-28 18:00:00.000000,downpour,medium,0.0,5.0,29.9531,78.1514
21731,2013-09-30 00:00:00.000000,unknown,medium,1.0,,30.6004,78.3154
24771,2013-10-16 18:00:00.000000,unknown,medium,0.0,,30.5345,79.0853
4495,2013-10-18 09:00:00.000000,rain,medium,0.0,,30.5345,79.0853
21204,2013-12-23 15:00:00.000000,mining,medium,2.0,2.0,29.3577,80.3109
854,2014-02-28 00:00:00.000000,unknown,large,0.0,0.0,29.58,80.67
2588,2014-06-17 23:00:00.000000,downpour,small,0.0,0.0,29.2983,80.7651
24182,2014-07-19 05:00:00.000000,rain,small,0.0,0.0,30.4305,78.0803
24573,2014-07-20 00:00:00.000000,rain,medium,2.0,0.0,29.2777,80.9871
22807,2014-07-20 00:00:00.000000,continuous_rain,small,3.0,0.0,30.6326,78.9953
5248,2014-07-23 23:30:00.000000,downpour,small,2.0,0.0,29.1585,79.1464
5305,2014-07-28 00:00:00.000000,continuous_rain,medium,7.0,12.0,29.5829,80.2182
23061,2014-08-15 00:00:00.000000,rain,medium,14.0,0.0,30.1176,78.7472
4550,2014-08-18 00:00:00.000000,downpour,medium,0.0,0.0,30.9936,78.4594
21177,2014-09-11 00:00:00.000000,downpour,medium,0.0,0.0,30.688,79.0478
20335,2015-03-31 00:00:00.000000,construction,medium,4.0,0.0,30.6145,79.8102
1380,2015-04-28 00:00:00.000000,continuous_rain,small,0.0,0.0,30.5631,79.5765
24595,2015-04-30 00:00:00.000000,continuous_rain,small,0.0,0.0,30.5568,79.5541
24758,2015-06-21 00:00:00.000000,rain,small,0.0,0.0,30.0261,78.6278
2373,2015-06-25 00:00:00.000000,downpour,medium,0.0,0.0,30.6838,79.0479
1018,2015-07-06 00:00:00.000000,downpour,medium,0.0,0.0,29.393,79.4525
20527,2015-07-10 00:00:00.000000,continuous_rain,medium,0.0,0.0,29.3908,79.4552
4072,2015-07-11 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.3799,78.4862
1,2015-07-11 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.241,78.9
7216,2015-07-19 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.73,78.4378
23673,2015-07-19 15:00:00.000000,monsoon,small,1.0,0.0,30.0705,80.2364
7299,2015-07-24 00:00:00.000000,continuous_rain,small,0.0,0.0,30.4528,78.1045
25518,2015-07-24 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.416,78.3415
23392,2015-07-24 00:00:00.000000,continuous_rain,small,0.0,0.0,30.4517,78.1443
25656,2015-07-24 00:00:00.000000,continuous_rain,small,0.0,0.0,29.5863,80.2186
2432,2015-07-26 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.2411,78.9014
6532,2015-07-28 00:00:00.000000,continuous_rain,small,0.0,0.0,30.7204,79.0758
4455,2015-08-01 00:00:00.000000,continuous_rain,medium,0.0,1.0,31.0358,78.8578
2402,2015-08-07 00:00:00.000000,unknown,medium,0.0,0.0,29.8587,80.5547
3321,2015-08-10 23:00:00.000000,continuous_rain,medium,5.0,1.0,29.346,81.0083
4388,2015-08-15 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.6494,79.5269
25358,2015-08-15 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.9111,78.6814
5056,2015-08-15 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.7864,78.616
22183,2015-08-15 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.9085,78.3299
3512,2016-05-22 15:00:00.000000,rain,small,10.0,6.0,30.306,78.0648
22575,2016-05-23 01:00:00.000000,rain,small,10.0,5.0,30.7007,77.8644
25117,2016-06-04 07:15:00.000000,downpour,medium,0.0,0.0,29.3038,80.6581
7257,2016-06-29 00:00:00.000000,downpour,medium,0.0,0.0,30.3299,79.3206
1107,2016-06-30 22:00:00.000000,monsoon,large,0.0,0.0,29.8002,80.2565
22695,2016-06-30 23:00:00.000000,downpour,medium,1.0,0.0,29.7535,80.4934
1386,2016-06-30 23:00:00.000000,downpour,medium,1.0,0.0,29.6394,80.7179
25037,2016-07-16 00:00:00.000000,rain,small,0.0,0.0,30.3351,78.5113
21143,2016-07-16 15:00:00.000000,downpour,medium,0.0,0.0,30.4554,78.0973
3535,2016-07-17 00:00:00.000000,downpour,medium,4.0,0.0,30.1642,78.2936
23538,2016-07-17 09:00:00.000000,downpour,medium,0.0,0.0,29.9551,78.1677
20419,2016-07-18 00:00:00.000000,rain,medium,,,30.7313,78.4358
21349,2016-07-31 00:00:00.000000,continuous_rain,medium,0.0,5.0,30.9753,78.4375
2148,2016-08-04 00:00:00.000000,continuous_rain,medium,0.0,0.0,30.7386,79.4954
25777,2016-08-05 23:00:00.000000,downpour,small,1.0,0.0,29.5866,80.2154
20012,2016-08-10 20:00:00.000000,continuous_rain,small,1.0,0.0,30.070512,80.237218
20034,2016-08-16 00:00:00.000000,rain,medium,0.0,0.0,29.350849,79.451264
786,2016-08-28 00:00:00.000000,rain,small,1.0,0.0,30.922325,78.68137899999999
800,2016-08-29 08:00:00.000000,rain,medium,0.0,1.0,30.995694,78.936314
26312,2016-09-11 00:00:00.000000,unknown,large,2.0,2.0,30.59661,79.569767
22395,2016-10-04 00:00:00.000000,unknown,medium,0.0,0.0,29.8521,80.553
26297,2017-04-05 22:00:00.000000,downpour,small,0.0,0.0,30.81350174,78.61792150000001
26205,2017-04-06 00:00:00.000000,continuous_rain,small,0.0,0.0,30.50415824,79.48751263999999
7398,2017-04-06 00:00:00.000000,downpour,small,0.0,0.0,30.61461423,78.3157525
26267,2017-04-06 00:00:00.000000,downpour,small,0.0,0.0,31.01260519,78.88449525
690,2017-05-20 00:00:00.000000,rain,large,13.0,,30.73315585,79.49231617
20024,2017-05-20 00:00:00.000000,unknown,medium,0.0,0.0,30.56504675,79.56163208
703,2017-06-06 00:00:00.000000,rain,small,1.0,1.0,30.33597362,79.31958144000001
697,2017-06-29 00:00:00.000000,rain,medium,0.0,0.0,29.60012,80.63000199999999
23202,2017-07-05 00:00:00.000000,rain,medium,5.0,,29.88884727,80.56522226
26248,2017-07-07 00:00:00.000000,rain,small,0.0,0.0,30.24147729,78.89773782
7620,2017-07-11 00:00:00.000000,continuous_rain,small,1.0,0.0,29.83416882,80.26894533000001
26268,2017-07-11 00:00:00.000000,continuous_rain,medium,3.0,1.0,30.41288197,78.08379452999999
7324,2017-07-13 00:00:00.000000,continuous_rain,small,0.0,0.0,30.23936058,77.9558167
27733,2017-09-03 00:00:00.000000,unknown,small,,,30.739231,78.373963
28069,2017-12-10 00:00:00.000000,unknown,unknown,6.0,,31.410667,77.602553
28065,2017-12-14 00:00:00.000000,mining,large,,,29.420147,80.244129
27732,2018-04-27 00:00:00.000000,unknown,medium,0.0,0.0,30.74148939,78.52656314
8247,2018-05-07 11:00:00.000000,downpour,small,1.0,0.0,29.27910301,80.86335953
27024,2018-05-08 00:00:00.000000,rain,medium,0.0,0.0,30.65160517,79.52008975999999
27114,2018-06-01 00:00:00.000000,downpour,small,0.0,0.0,30.72203108,78.44517325
5698,2018-08-08 22:25:03.000000,rain,large,0.0,,30.821298950000003,78.23265711
7770,2018-08-09 22:25:11.000000,rain,unknown,1.0,,29.85124503,80.55415467
25822,2018-08-09 22:25:11.000000,rain,unknown,1.0,,30.04014521,80.31354955
7765,2018-08-10 21:25:30.000000,rain,large,0.0,0.0,30.917143990000003,78.68361831
21788,2018-08-12 22:10:04.000000,rain,medium,0.0,0.0,31.42500223,78.26035019
19985,2018-08-18 00:44:05.000000,unknown,small,,,29.3841749,79.46310566
9778,2018-08-25 00:44:05.000000,unknown,small,,,29.38720379,79.46145342
27734,2018-08-29 00:00:00.000000,downpour,medium,7.0,1.0,30.35948514,78.37742809
28331,2018-08-30 04:00:00.000000,unknown,medium,2.0,1.0,30.27158781,79.44950952
24813,2018-09-02 16:46:23.000000,rain,small,,,31.11294766,77.61442829
9679,2018-09-03 15:34:52.000000,unknown,large,14.0,1.0,30.29068049,78.48725977
19990,2018-09-12 21:51:43.000000,rain,medium,1.0,,31.01884813,78.04493479
9749,2018-09-27 00:17:22.000001,continuous_rain,medium,0.0,,31.11743075,77.5745521
9745,2018-09-28 02:58:43.000000,monsoon,large,,,31.11122752,77.60624692
9607,2018-12-21 17:15:57.000000,construction,medium,8.0,4.0,30.51701952,79.09243031
